_nid|_title|_photograph
605|Propithecus perrieri |Perrier's-Sifaka_Propithecus-perrieri(clc)
609|Indri indri profile|RAM_jan-05-madagascar0526(clc)
611|Indri indri|NEW-fig.10.79-pg.589_Indri_indri
612|Indri indri|2009_09_MAD_222(clc)
613|Indri indri|IndriNARA4.12QLOUIS(clc)
614|Indri indri|black-indri_06
615|Indri indri|black-indri_01
616|Indri indri|black-indri_04
619|Daubentonia madagascariensis  profile|Daubentonia-madagascariensis
621|Daubentonia madagascariensis |404
622|Daubentonia madagascariensis |owenayeaye-pl-1
623|Daubentonia madagascariensis |lydDuab
624|Daubentonia madagascariensis |Aye-aye_Daubentonia-madagascariensis(clc)
625|Daubentonia madagascariensis |img049_1(clc)
626|Daubentonia madagascariensis |Madagascar2005March-April113(clc)
635|Eulemur coronatus profile|
637|Eulemur coronatus profile ok|Eulemur-coronatus
639|Avahi unicolor profile|Avahi-unicolor
